 #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
527,Vaishali,16,GEN,Bihar [2000 Onwards],Veena Devi,Lok Janshakti Party(Ram Vilas),1869178,1172060,0.627,89634,0.076
528,Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Sunil Kumar,Janata Dal (United),1827281,1101830,0.603,98675,0.09
529,Valsad,26,ST,Gujarat,Dhaval Laxmanbhai Patel,Bharatiya Janta Party,1859974,1361411,0.732,210704,0.155
530,Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1997578,1130143,0.566,152513,0.135
531,Vellore,8,GEN,Tamil Nadu,Dm Kathir Anand,Dravida Munnetra Kazhagam,1528273,1129458,0.739,215702,0.191
532,Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chouhan,Bharatiya Janta Party,1945404,1455658,0.748,821408,0.564
533,Vijayawada,12,,Andhra Pradesh [2014 Onwards],Kesineni Sivanath (CHINNI),Telugu Desam,1704077,1364405,0.801,282085,0.207
534,Viluppuram,13,SC,Tamil Nadu,Ravikumar. D,Viduthalai Chiruthaigal Katchi,1503115,1152667,0.767,70703,0.061
535,Virudhunagar,34,GEN,Tamil Nadu,Manickam Tagore B,Indian National Congress,1501942,1061901,0.707,4379,0.004
536,Visakhapatnam,4,,Andhra Pradesh [2014 Onwards],Sribharat Mathukumili,Telugu Desam,1927303,1387125,0.72,504247,0.364
537,Vizianagaram,3,,Andhra Pradesh [2014 Onwards],Appalanaidu Kalisetti,Telugu Desam,1585206,1299242,0.82,249351,0.192
538,Warangal,15,SC,Telangana,Kadiyam Kavya,Indian National Congress,1824466,1267946,0.695,220339,0.174
539,Wardha,8,GEN,Maharashtra,Amar Sharadrao Kale,Nationalist Congress Party – Sharadchandra Pawar,1682771,1095012,0.651,81648,0.075
540,Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,1462423,1084653,0.742,364422,0.336
541,West Delhi,6,GEN,Delhi [1977 Onwards],Kamaljeet Sehrawat,Bharatiya Janta Party,2587977,1524494,0.589,199013,0.131
542,Yavatmal-Washi,14,GEN,Maharashtra,Sanjay Uttamrao Deshmukh,Shiv Sena (Uddhav Balasaheb Thackrey),1940916,1225530,0.631,94473,0.077
543,Zahirabad,5,GEN,Telangana,Suresh Kumar Shetkar,Indian National Congress,1641410,1236593,0.753,46188,0.037
